case,sample_id,domain,intent_label,gold,gold_rank,gold_score,top1,top1_same_group,context_preview
1,03_session_0053#turn952,Media Sharing,humor_teasing,1466512661914058777.png,1,8.7938,1466512661914058777.png,True,ff835b6f: this is good || d9f3f839: I would prefer this be more common because I run into this exact thing quite often || ff835b6f: yeah || 0d1fc891: i just use a flag because it’s more obvious to me || d9f3f839: well...
2,52_session_0001#turn4453,Media Sharing,frustration_disapproval,675168768736887035.png,1,8.5616,675168768736887035.png,True,96db0d27: [sticker:6264779932354742537.webm] || 0be614be: [sticker:5327816856633872803.png] || 388804ee: [sticker:5197541655208535110.webm] || 96db0d27: || dfe574c2: Sticker pack miakhalifanormalingdife44 has been dis...
3,52_session_0001#turn5262,Media Sharing,neutral_acknowledgment,675168768736887035.png,1,8.518,675168768736887035.png,True,None: [sticker:6179134960167814379.png] || 96db0d27: [sticker:6179081934501577838.png] || None: [sticker:6181752089899697117.png] || 5fb42181: [sticker:6156576460489361061.png] || None: [sticker:6181752089899697117.pn...
4,52_session_0001#turn5089,Media Sharing,neutral_acknowledgment,675168768736887035.png,1,8.511,675168768736887035.png,True,0bf4df22: || None: [sticker:1398066688695468203.png] || 2a8f6efc: [sticker:5327932627477343312.png] || None: [sticker:6001572276187695369.gif] || 2a9d2b8c: [sticker:5945235817231289600.png] || d1f5e86d: || None: [stic...
5,52_session_0003#turn242,Media Sharing,neutral_acknowledgment,675168768736887035.png,1,8.3681,675168768736887035.png,True,0168cbe1: [sticker:6084694040987567262.png] || dc5bcc38: [sticker:5433684317261805127.webm] || 2200c894: [sticker:6107423347220415430.webm] || 96db0d27: || None: [sticker:6107326796355602098.webm] || None: [sticker:61...
6,52_session_0001#turn1288,Media Sharing,neutral_acknowledgment,675168768736887035.png,1,8.3558,675168768736887035.png,True,bc545aa2: || bc545aa2: || bc545aa2: [sticker:5890917133910542526.png] || dfe574c2: Sticker pack cthuznopbj_by_stikeri_stikeri_bot has been disabled || c87b3b7c: User `:3` has been banned || None: [sticker:182536080015...
7,52_session_0001#turn5117,Media Sharing,neutral_acknowledgment,675168768736887035.png,1,8.3079,675168768736887035.png,True,None: [sticker:1398066688695468093.png] || 96db0d27: || None: [sticker:1398066688695468243.png] || cbdd685d: [sticker:5017042437663621682.webm] || 96db0d27: [sticker:5017176681161425533.webm] || cbdd685d: [sticker:501...
8,52_session_0001#turn1481,Media Sharing,neutral_acknowledgment,675168768736887035.png,1,8.3033,675168768736887035.png,True,9e559ac4: [sticker:5233745175792066545.webm] || None: [sticker:441671243897241933.gif] || 9e559ac4: [sticker:5764665427783323135.webm] || None: [sticker:5776150535405047314.webm] || 2a9d2b8c: [sticker:5767192114093886...
9,52_session_0001#turn4531,Media Sharing,neutral_acknowledgment,675168768736887035.png,1,8.3032,675168768736887035.png,True,None: [sticker:5805465851863764676.png] || 9bace18a: || None: [sticker:2345073579797775165.png] || 717c1358: [sticker:5915669481408958482.webm] || bc545aa2: || 1cfac842: [sticker:5913615898630950911.webm] || 96db0d27:...
10,52_session_0003#turn468,Media Sharing,neutral_acknowledgment,675168768736887035.png,1,8.2535,675168768736887035.png,True,66b6dc22: [sticker:6141086394648364710.webm] || 96db0d27: [sticker:6021792943562558969.gif] || c23f52e7: [sticker:6140785076922746303.webm] || fb5dbd4b: [sticker:6141086394648364710.webm] || a0c89613: [sticker:1391391...
11,52_session_0001#turn1131,Media Sharing,neutral_acknowledgment,675168768736887035.png,1,8.2473,675168768736887035.png,True,ea4323f9: [sticker:6055161794320664317.webm] || None: [sticker:6138829161701049537.webm] || bc545aa2: [sticker:202331403893877858.png] || 9e559ac4: || None: [sticker:441671243897241933.gif] || ea4323f9: [sticker:62379...
12,52_session_0001#turn4737,Media Sharing,neutral_acknowledgment,675168768736887035.png,1,8.2002,675168768736887035.png,True,a29254c6: || None: [sticker:675168768736887035.png] || 2200c894: [sticker:5206448343638609243.gif] || None: [sticker:441671243897241906.gif] || b088b557: [sticker:5206397894952750326.gif] || 96db0d27: [sticker:6334872...
13,52_session_0001#turn5588,Media Sharing,neutral_acknowledgment,182536080015233511.png,1,8.182,182536080015233511.png,True,c23f52e7: [sticker:6046091055319746612.gif] || None: [sticker:2345073579797775165.png] || c23f52e7: [sticker:5931563853996362737.webm] || None: [sticker:5913589523236786063.webm] || 32e260bf: || None: [sticker:2345073...
14,52_session_0001#turn2954,Media Sharing,frustration_disapproval,675168768736887035.png,1,8.1772,675168768736887035.png,True,9e559ac4: || b7cb4dcb: [sticker:5805692566007451919.png] || c87b3b7c: User `Mike` has been banned || None: [sticker:675168768736887048.png] || 2a9d2b8c: [sticker:5839223689219935826.png] || 6494e579: || 9e559ac4: [sti...
15,52_session_0001#turn312,Media Sharing,neutral_acknowledgment,675168768736887035.png,1,8.1625,675168768736887035.png,True,9e559ac4: [sticker:6003479160062742425.png] || None: [sticker:6006086621823241900.png] || bc545aa2: [sticker:5893157539175992440.png] || None: [sticker:182536080015232944.png] || bc545aa2: [sticker:5893037035278567456...
16,52_session_0032#turn661,Media Sharing,neutral_acknowledgment,675168768736887035.png,1,8.0404,675168768736887035.png,True,41a41249: [sticker:6307441288455130033.webm] || bbb587b8: [sticker:5335006395664179964.gif] || None: [sticker:5301278678913652950.gif] || 7e0f3165: [sticker:6264724471442050978.gif] || None: [sticker:23579791275935670...
17,37_session_0010#turn625,Anime,surprise_reaction,1650176364118016154.png,1,7.9929,1650176364118016154.png,True,3de88128: merde ils nous ont gater cette serie || 3de88128: on veut voir le sang pas les herbes ! || 483e4d37: S'il vous plaît personne ici n'a le film ou le lien pour Suzume ? || fe08ca80: || e634d6f7: Bonjour! J'vie...
18,52_session_0001#turn5495,Media Sharing,neutral_acknowledgment,675168768736887035.png,2,8.6766,182536080015233511.png,True,667af153: [sticker:5204378650438276053.webm] || 2a9d2b8c: [sticker:5958362822130798353.png] || None: [sticker:5017234766299137024.webm] || c23f52e7: [sticker:452520296927199444.png] || 4745f528: || 4596c939: [sticker:...
19,52_session_0018#turn180,Media Sharing,neutral_acknowledgment,2345073579797774953.png,2,8.5721,675168768736887035.png,True,None: [sticker:1621864712796897343.png] || 280be97b: [sticker:1621864712796897341.png] || None: [sticker:1621864712796897341.png] || 98a90540: [sticker:6168125125037132167.webm] || None: [sticker:6170316666459653776.w...
20,58_session_0003#turn912,Media Sharing,frustration_disapproval,202331403893876219.png,2,8.5435,202331403893877459.png,True,"None: [sticker:202331403893873507.png] || 13970572: #USER_ID, #USER_ID has reduced your reputation. Your reputation 21 || None: [sticker:6030550373289168190.png] || c9327094: || None: [sticker:202331403893873090.png] ..."
